ID	fact
OBJECTIVE O0	
O0_S1	218:55
O0_S2	274:56
O0_B1	948:69
O0_B2	1018:124
O0_B3	1143:53
O0_B4	Ask him about it and he'll share details of his two-phase plan that begins with proper defenses for the planet.
O0_B5	1310:73
O0_B6	1384:111
OBJECTIVE O1	
O1_S1	357:60
O1_B1	1496:95
O1_B2	1592:111
OBJECTIVE O2	
O2_S1	463:68
O2_B1	531:86
OBJECTIVE O3	
O3_S1	636:34
O3_S2	671:34
O3_B1	706:82
O3_B2	789:63
O3_B3	852:32
O3_B4	2762:129
O3_B5	The door will open and Huxley will come outand you'll get Iconoclasts reputation.
O3_B6	2975:68
O3_B7	3044:81
OBJECTIVE O4	
O4_S1	901:44
O4_B1	3126:49
O4_B2	3176:103
O4_B3	3280:48
arms_building	
arms_building_01	ARMS is an abandoned building in Stellar Bay Ruins (North).
bolt-52_cartridge	
bolt-52_cartridge_01	The cartridge contains a BOLT-52 (Bill of Liquidation/Transfer Form 52).
bolt-52_cartridge_02	Sanjar believes it will protect MSI's holdings on Monarch when he makes his move against the Board by temporarily assigning them to a pass-through entity.
celia_robbins	
celia_robbins_01	Celia Robbins is a middle manager for Monarch Stellar Industries and works with Sanjar Nandi at MSI Headquarters in Stellar Bay.
celia_robbins_02	Celia has a crush on Sebastian Adams and will buy whatever he has in stock,
celia_robbins_03	just as an excuse to talk to him.
celia_robbins_04	Unfortunately her apartment is filling up with exotic creature parts and her neighbors are starting to complain about the smell.
celia_robbins_05	She is not concerned that she and Sebastian may not have much to talk about,
celia_robbins_06	as everyone else in Stellar Bay either smells like saltuna or are her boss.
celia_robbins_07	The Stranger can offer to set her and Sebastian up on a date.
hazard_clause	
hazard_clause_01	The Hazard Clause is a legal provision that gives the Halcyon Holdings Corporate Board the authority to cordon off any planet or location that it deems dangerous and an infeasible workplace environment.
hazard_clause_02	After the Hazard Clause has been issued for a location,
hazard_clause_03	all corporations are required to evacuate within 6 months,
hazard_clause_04	after which the location is deemed illegal territory and any corporation caught operating in the area will face fines and possible disbarment,
hazard_clause_05	as defined in Halcyon Code 22.1.
hazard_clause_06	The Hazard Clause was most notably issued in relation to operations on Terra 1,  AKA Monarch.
huxley	
huxley_01	Huxley is a runner for the Iconoclasts.
huxley_02	Huxley is a relatively recent member of the Iconoclasts.
huxley_03	Although she likes being a part of the group,
huxley_04	the details and importance of Philosophism sometimes escapes her.
huxley_05	She is naive and scatterbrained but otherwise but good-natured and eager to help.
huxley_06	Huxley was entrusted with delivering rollers for a broken printing press Graham had ordered.
huxley_07	Unfortunately, while she and her group were scavenging the ruins of Stellar Bay a mantiqueen followed by raptidons appeared and she was locked inside the ARMS building by one of her friends for her protection.
huxley_08	This is where the Stranger can find her for the first time.
iconoclasts	
iconoclasts_01	The Iconoclasts are a group of survivalists living in the ruins of Amber Heights on Monarch.
iconoclasts_02	They hope to one day tear down the corporate establishment that they believe has brought the colony to the brink of death.
iconoclasts_03	The Iconoclasts are a group of idealistic revolutionaries that seek to overthrow the corporate establishment that runs the Halcyon Colony.
