ID	fact
OBJECTIVE O0	
O0_S1	214:91
O0_B1	1342:131
O0_B2	1474:102
OBJECTIVE O1	
O1_S1	They could still stick the landing... 0/10 from the Monarch judges.
O1_B1	1577:71
O1_B2	1649:113
O1_B3	1763:44
O1_B4	1808:71
O1_B5	1880:40
OBJECTIVE O2	
O2_S1	436:71
O2_B1	1921:65
O2_B2	1987:226
OBJECTIVE O3	
O3_S1	789:125
O3_B1	2214:137
O3_B2	2352:97
O3_B3	2450:62
O3_B4	Sanjar says he's willing to consider it if he sees her review first.
O3_B5	2992:120
OBJECTIVE O4	
O4_S1	914:115
O4_B1	3291:69
O4_B2	3361:75
O4_B3	3437:40
O4_B4	3478:89
O4_B5	3568:122
O4_B6	3691:136
O4_B7	3828:65
O4_B8	3894:23
O4_B9	3918:78
O4_B10	3997:54
O4_B11	4052:46
O4_B12	4099:69
O4_B13	4169:68
OBJECTIVE O5	
O5_S1	1185:82
O5_S2	Meet them there to help establish peace between MSI and the Iconoclasts.
O5_B1	4238:87
O5_B2	4326:136
O5_B3	4463:85
O5_B4	4549:101
O5_B5	4651:95
celia_robbins	
celia_robbins_01	Celia Robbins is a middle manager for Monarch Stellar Industries and works with Sanjar Nandi at MSI Headquarters in Stellar Bay.
celia_robbins_02	Celia has a crush on Sebastian Adams and will buy whatever he has in stock,
celia_robbins_03	just as an excuse to talk to him.
celia_robbins_04	Unfortunately her apartment is filling up with exotic creature parts and her neighbors are starting to complain about the smell.
celia_robbins_05	She is not concerned that she and Sebastian may not have much to talk about,
celia_robbins_06	as everyone else in Stellar Bay either smells like saltuna or are her boss.
celia_robbins_07	The Stranger can offer to set her and Sebastian up on a date.
graham_bryant	
graham_bryant_01	Graham Bryant is the leader of the Iconoclasts on Monarch.
graham_bryant_02	Graham used to work for MSI, before splitting off and forming the Iconoclasts
graham_bryant_03	When the Hazard Clause was invoked and the evacuation of Monarch began, he and fellow MSI executive, Sanjar Nandi were informed by Hiram Blythe about a loophole which would allow for MSI to take full control of the planet.
graham_bryant_04	Graham and Sanjar believed that this provided them with an opportunity to dismantle the corporate system, even if they had different interpretations of this intention.
graham_bryant_05	However, they were unable to convince the other MSI executives of their plan, so Graham made an arrangement to remove this hurdle.
graham_bryant_06	Graham informed a crew of pirates about the wealth that could be found in Amber Heights and provided them with the gate access codes to break into the settlement.
graham_bryant_07	On the night of the pirate attack, Graham slept safe in Stellar Bay, while the rest of his colleagues were being massacred.
graham_bryant_08	Graham's frustration with the inaction made him desperate.
graham_bryant_09	He informed a crew of pirates about the wealth that could be found in Amber Heights and provided them with the gate access codes to break into the settlement.
graham_bryant_10	Even as the Iconoclasts settled in Amber Heights,
graham_bryant_11	Graham was reluctant to speak of the events that happened there.
graham_bryant_12	This was interpreted by his followers as grief over the loss of his former colleagues.
graham_bryant_13	His true reaction to the events that happened ranged from guilt to denial to belief that his actions were ultimately justified.
graham_bryant_14	After the Amber Heights massacre, Sanjar took over ownership of MSI, something which Graham viewed as a betrayal of the ideals which he believed motivated them both.
graham_bryant_15	As leader of the Iconoclasts, Graham prioritised the spreading of Philosophism to the rest of Halcyon,
graham_bryant_16	using the Devil's Peak Station broadcast channel to hijack Halcyon News Network's programming on locations including Groundbreaker
graham_bryant_17	and spending Iconoclast resources on securing a printing press which would allow them to better disseminate their message.
graham_bryant_18	This has led to disagreements between Graham and his second-in-charge, Zora Blackwood, who disapproved of prioritising evangelism over the welfare of their people.
graham_bryant_19	If the Stranger investigates the pasts of both Graham Bryant and Zora Blackwood,
graham_bryant_20	Blackwood can be led to believe that she must supplant Graham as Iconoclast leader,
graham_bryant_21	based on his actions amid the infamous Amber Heights massacre.
graham_bryant_22	Graham can't be persuaded to accept this move, and must be killed to make room for Blackwood.
graham_bryant_23	These events can enable the establishment of an Iconoclast-MSI alliance.
iconoclasts	
iconoclasts_01	The Iconoclasts are a group of survivalists living in the ruins of Amber Heights on Monarch.
iconoclasts_02	They hope to one day tear down the corporate establishment that they believe has brought the colony to the brink of death.
iconoclasts_03	The Iconoclasts are a group of idealistic revolutionaries that seek to overthrow the corporate establishment that runs the Halcyon Colony.
iconoclasts_04	Based in the ruins of the Amber Heights settlement on Monarch,
iconoclasts_05	they are a tenacious group,
iconoclasts_06	and share some democratic ideals with Monarch Stellar Industries (MSI) against the more repressive actions of the Board.
iconoclasts_07	However, the Iconoclast's anti-corporate nature has put them at odds with MSI, a dispute that threatens to spill into all-out warfare.
iconoclasts_08	Given that the Iconoclasts are mostly followers of the Philosophist faith, they have been blacklisted and demonized by the Board as dissenters and anarchists.
iconoclasts_09	The group is led by Graham Bryant, a staunch Philosophist.
iconoclasts_10	Zora Blackwood, the Iconoclasts' chief of medicine, is also considered a de facto leader of the group,
iconoclasts_11	as she was alongside Graham when he founded the Iconoclasts,
iconoclasts_12	and almost every member of the Iconoclasts owes her their life in some way.
iconoclasts_13	The Iconoclasts maintain a tense relationship with MSI.
iconoclasts_14	Despite sharing democratic values and a common desire towards egalitarianism for the people of Monarch and the wider Halcyon colony,
iconoclasts_15	"MSI's ""egalitarian corporate structure"" has proven to be at odds with some of the Iconoclasts' more radical, anti-capitalist views."
iconoclasts_16	Depending on the actions of the Stranger, this tense relationship can either be resolved,
iconoclasts_17	or can spill into a drawn-out and bloody war.
iconoclasts_18	The Stranger meets the Iconoclasts in Amber Heights just as the tension between them and MSI is reaching boiling point.
