ID	fact
OBJECTIVE O0	
O0_S1	192:112
O0_B1	You can meet Caleb Herrick at the second floor of The Yacht's Club in Stellar Bay, Monarch.
O0_B2	1083:72
O0_B3	1156:50
O0_B4	1207:54
O0_B5	1262:26
O0_B6	then ask him about how he is getting by, and you will learn about his bit stash,
O0_B7	1357:23
O0_B8	He will mention that there are rumours that Velma has been taking a cut of their profits.
OBJECTIVE O1	
O1_S1	332:51
O1_S2	517:150
O1_S3	740:117
O1_B1	1381:93
O1_B2	1565:85
O1_B3	1651:94
O1_B4	Confront her, but she will say she has earned it by working twice as much as everyone else.
O1_B5	2100:23
O1_B6	2124:42
O1_B7	2167:36
OBJECTIVE O2	
O2_S1	896:36
O2_S2	933:55
O2_B1	Return to Herrick and tell him he's getting his raise.
bits	
bits_01	Bits are the primary currency of the Halcyon system which are stored on physical bit cartridges.
caleb_herrick	
caleb_herrick_01	Caleb Herrick is an auto loader operator who works at the Saltuna Warehouse in Stellar Bay.
caleb_herrick_02	Caleb at his fellow auto loader operators have walked off their jobs at the Saltuna Warehouse.
caleb_herrick_03	Their decision to strike is due to a multitude of factors including having to work longer shifts for less bits and the rising cost of living.
caleb_herrick_04	They are taking advantage of the fact that, unlike other Board-run towns, on Monarch they have the right to lobby for better hours and pay.
caleb_herrick_05	Caleb intends to strike until he runs out of the bits which he has stashed in his home near the diner.
caleb_herrick_06	He estimates that he can hold out for a few weeks.
caleb_herrick_07	Despite his desire for better working conditions, Caleb does not want to hurt anyone in the strike process.
caleb_herrick_08	He isn't willing to blackmail Velma as some of the others have suggested,
caleb_herrick_09	nor is he willing to sacrifice Velma and her job just to get better pay.
catherine_malin	
catherine_malin_01	Catherine Malin is the outpost administrator of Fallbrook and owner of Malin's House of Hospitality.
catherine_malin_02	"Catherine, acting on behalf of SubLight Salvage and Shipping Corporation, is the ""top dog"" in Fallbrook, and a mastermind behind it's construction."
catherine_malin_03	She is known for a violent temper and won't hesitate to hire a hitman to get somebody whacked.
catherine_malin_04	Sanjar Nandi is afraid of Catherine.
catherine_malin_05	According to him, she has certain ambitions for Stellar Bay and Sanjar fears asking her for help during Errors Unseen because it may give her the leverage she has been looking for.
catherine_malin_06	Celia, his assistant, tries to calm him down and says it's perfectly normal to have a healthy fear of her.
saltuna_warehouse	
saltuna_warehouse_01	The Saltuna Warehouse is a location in Stellar Bay on Monarch.
saltuna_warehouse_02	The Saltuna Warehouse is run by Velma Ballard.
saltuna_warehouse_03	The Warehouse is owned by Monarch Stellar Industries (MSI)
saltuna_warehouse_04	When the Stranger first arrives, she has had to pull extra shifts,
saltuna_warehouse_05	as Braxton Hecht has not shown up for work in several days
saltuna_warehouse_06	and Caleb Herrick, along with his crew, have gone on strike demanding an increase in pay.
saltuna_warehouse_07	Since the corporation pullout of the Terra 1 colony,
saltuna_warehouse_08	and the blockade by The Board,
saltuna_warehouse_09	the warehouse has not been able to find buyers as easily,
saltuna_warehouse_10	and have had a total of four batches rot in a span of two months due to this.
sanjar_nandi	
