ID	fact
OBJECTIVE O0	
O0_S1	191:53
O0_S2	has hired you to help her create the ultimate outfit -
O0_S3	299:50
O0_B1	1802:103
OBJECTIVE O1	
O1_S1	375:73
O1_S2	449:85
O1_S3	535:32
O1_B1	1906:123
O1_B2	2859:29
O1_B3	2889:40
OBJECTIVE O2	
O2_S1	745:43
O2_S2	789:48
OBJECTIVE O3	
O3_S1	863:41
O3_S2	905:25
OBJECTIVE O4	
O4_S1	960:50
O4_S2	1011:32
OBJECTIVE O5	
O5_S1	1061:77
O5_S2	1139:18
O5_B1	3238:58
O5_B2	3297:61
O5_B3	3359:75
OBJECTIVE O6	
O6_S1	1180:64
O6_S2	1245:53
O6_S3	1299:54
O6_S4	1354:57
O6_B1	3436:36
O6_B2	3473:34
O6_B3	3508:80
O6_B4	3589:130
O6_B5	3720:52
O6_B6	3773:66
O6_B7	3840:112
O6_B8	3953:26
OBJECTIVE O7	
O7_S1	1616:34
O7_S2	1651:61
O7_B1	returning to Ms. Jolicoeur,
O7_B2	the player will find her dead,
O7_B3	in the middle of her store.
O7_B4	A Corporate Commander will instruct the player to stand back.
O7_B5	Pressing further reveals that whatever the Chimaera was supposed to look like,
O7_B6	was not in fact legal in Byzantium.
O7_B7	As such, being caught red handed with the garment in her possession,
O7_B8	an attempt at her arrest was made by the Corporate Troopers,
O7_B9	but unfortunately for her, she didn't feel like cooperating,
O7_B10	and the guards didn't feel like negotiating,
O7_B11	so they shot her.
O7_B12	The player has the option to accuse the Trooper of murder and attack,
O7_B13	but this understandably a bad idea being that this individual is a high ranking member of Byzantium's Police Force.
O7_B14	The other option is to simply call them insane,
O7_B15	in which case they say UDL's motto, and walk off.
OBJECTIVE O8	
O8_S1	1734:16
O8_S2	1751:48
byzantium	
byzantium_01	Byzantium is the capital city of Terra 2 and the crown jewel of Halcyon.
byzantium_02	All the opulence, elegance, and decadence of the colony is concentrated in the city.
byzantium_03	Its residents are colloquially referred to as gold-bloods.
byzantium_04	"Referred to as the ""gilded city of the well-to-do"","
byzantium_05	Byzantium is where every Halcyon colonist wishes they could live.
byzantium_06	The city is closed off to those without the means to be appropriate residents;
byzantium_07	it’s a literal gated community with secrets that lesser company workers will simply never learn.
byzantium_08	The city of Byzantium was built in a radial layout,
byzantium_09	with streets and docking bays encircling the Halcyon Holdings Corporation headquarters,
byzantium_10	located in the restricted Acropolis District.
byzantium_11	Many buildings constructed in Byzantium are well-maintained,
byzantium_12	and are built in a futuristic Art Nouveau style,
byzantium_13	as opposed to the simpler prefabricated frontier designs of Edgewater or Stellar Bay.
byzantium_14	The Acropolis District is a wealthy district for the most prominent citizens of both Byzantium and the entire Halcyon Colony.
byzantium_15	Located here are the headquarters of the Halcyon Holdings Corporation,
byzantium_16	housed inside a towering skyscraper.
byzantium_17	Docking bays for various vessels and ships have been constructed into a large, deep trench encircling the mid-section of Byzantium.
byzantium_18	Only those individuals with the appropriate navkey are allowed to land on Byzantium's docking bays.
byzantium_19	A district bordering the Acropolis District,
byzantium_20	the Estate District is known as the residence of Minister Clarke.
byzantium_21	Prosperity Plaza is the beating hub of commerce and culture in Byzantium,
byzantium_22	fronted by famous establishments such as Bijou's Revue, Rococo's Decor, and Billingsly's House of Inebriation.
byzantium_23	At the center of the plaza is a large decorative orrery in the likeness of the Halcyon system.
celeste_jolicoeur	
celeste_jolicoeur_01	Celeste Jolicoeur is a high-profile fashion designer in Byzantium who runs Jolicoeur's Haberdashery.
celeste_jolicoeur_02	"Celeste has her own fashion line of ""Jolicoeur Originals"" that are of the most premium grade and even require her own personal seal to be ""truly authentic""."
celeste_jolicoeur_03	"the tagline for all her clothes is ""Well-made clothing. Made for fashion, not for protection."""
celeste_jolicoeur_04	She will send the player on a quest to bring back outfits and materials she needs to create the player a unique and one-of-a-kind outfit, the Chimaera.
celeste_jolicoeur_05	However, this will come at the cost of her life,
celeste_jolicoeur_06	and the player will have no other source for her wares.
chimaera	
chimaera_01	The Chimaera is an original work by fashion designer Celeste Jolicoeur.
chimaera_02	It is crafted out of raptidon flank, mantiqueen chitin and primal leather.
chimaera_03	The Chimaera is awarded to the player upon completing Makes Space Suits, Won't Travel.
corporate_soldiers	
corporate_soldiers_01	Corporate Soldiers are the security forces for each of the corporations.
groundbreaker	
groundbreaker_01	UDL-001 The Groundbreaker or simply Groundbreaker was the first colony ship to arrive in Halcyon during the Crossing.
groundbreaker_02	By 2355, it has been converted into an independent orbital station,
groundbreaker_03	and is the only place in the entire Halcyon system that is not controlled by the Halcyon Holdings Corporate Board or any other corporation.
groundbreaker_04	The crew of the Groundbreaker is fiercely protective of their independence from the corporations,
groundbreaker_05	and the corporations value the station's role as a thriving freeport enough that they are willing to deal with it on relatively equal terms.
groundbreaker_06	In practical terms, while the Groundbreaker rules itself,
groundbreaker_07	it cooperates with the corporations to an extent,
groundbreaker_08	such as by impounding ships that the Board happens to flag.
groundbreaker_09	The Groundbreaker is commanded by engineer-turned-captain Junlei Tennyson.
groundbreaker_10	Udom Bedford is the Halcyon Holdings Corporation representative stationed aboard.
groundbreaker_11	According to Junlei, lots of corners were cut when the ship was built,
