ID	fact
OBJECTIVE O0	
O0_S1	212:121
O0_S2	334:61
O0_B1	The quest can be obtained by asking Graham if there is anything that needs doing.
O0_B2	He is trying to get an old printing press running, but the replacement rollers he'd requisitioned haven't arrived yet.
O0_B3	They were supposed to be delivered by Huxley, but she is still recovering and unable to make the delivery.
O0_B4	Graham asks the player to meet the supplier in her stead, and to pick up high-capacity data cartridges with the funds left over from the previous shipment.
O0_B5	Zora will interject to ask the player to buy food and medicine instead with the leftover money.
OBJECTIVE O1	
O1_S1	440:79
O1_S2	520:48
O1_S3	568:17
O1_B1	Clear out the Sublight squad that is hunting Carlotta
O1_B2	Carlotta is behind a locked door to the east.
O1_B3	Activate the intercom next to the door to speak to her and she will unlock it.
O1_B4	Go inside and speak to her again to obtain the rollers needed to complete the quest, then choose between the high-capacity data cartridges or food and medicine.
OBJECTIVE O2	
O2_S1	Graham wants to tack on some high-capacity cartridges to his order, but Zora would prefer it they could get extra food and medical supplies.
O2_S2	796:86
OBJECTIVE O3	
O3_S1	899:54
O3_B1	3071:113
O3_B2	3185:86
O3_B3	3272:62
O3_B4	3335:73
amber_heights	
amber_heights_01	Amber Heights is a location in the Monarch Wilderness and the base of operations for the Iconoclasts.
amber_heights_02	The Iconoclasts run the place somewhat like a commune.
amber_heights_03	Amber Heights was once the place of residence of the entire executive dome of Monarch Stellar Industries.
amber_heights_04	It is now in ruins after a massacre in the past.
amber_heights_05	They lived there with their families and it was the company's operations center on Monarch.
amber_heights_06	Just after The Board approved the evacuation of the planet through the Hazard Clause, Amber Heights was besieged by a gang of pirates who ransacked the town and massacred all its inhabitants.
amber_heights_07	"This tragedy was known as ""The Amber Heights Massacre""."
amber_heights_08	They were secretly assisted by MSI employee, Graham Bryant, who believed that the massacre would aid him in his quest to rid the colony of corporate influence.
amber_heights_09	In 2345, the same Graham Bryant formed the Iconoclasts and settled the group in the deserted town.
carlotta	
carlotta_01	Carlotta is a resident of Stellar Bay and an Iconoclasts sympathizer.
carlotta_02	She can be found in the Bayside Terrace Warehouse after starting the quest, The Commuter.
carlotta_03	She is behind a sealed door and will open it if spoken to using the intercom.
carlotta_04	Carlotta envies the freedom enjoyed by the Iconoclasts and respects Graham Bryant for his dedication to living a life separate from the corporations,
