ID	fact
OBJECTIVE O0	
O0_S1	202:29
O0_S2	232:32
O0_S3	265:40
O0_S4	306:21
O0_B1	2428:155
O0_B2	2584:79
O0_B3	2664:68
O0_B4	2733:67
O0_B5	2801:51
O0_B6	2853:40
OBJECTIVE O1	
O1_S1	357:70
O1_S2	428:51
O1_B1	3142:65
O1_B2	3208:27
O1_B3	3236:53
O1_B4	3290:46
O1_B5	3337:64
O1_B6	3402:57
O1_B7	3460:57
O1_B8	3518:47
O1_B9	3566:43
O1_B10	3610:94
O1_B11	3705:61
O1_B12	3767:46
O1_B13	3814:64
OBJECTIVE O2	
O2_S1	497:81
O2_B1	4040:81
O2_B2	4122:21
O2_B3	4144:70
O2_B4	4215:62
O2_B5	4278:28
O2_B6	4307:24
O2_B7	4332:43
O2_B8	4376:62
OBJECTIVE O3	
O3_S1	599:46
O3_S2	646:18
O3_S3	665:40
O3_S4	705:127
O3_B1	5883:65
O3_B2	5949:86
O3_B3	6036:106
O3_B4	6143:51
O3_B5	"If you decide to help her escape she says will give your Anton's Data and the quest will update  ""find an escape route""."
O3_B6	6316:56
O3_B7	6373:82
OBJECTIVE O4	
O4_S1	1690:60
O4_S2	1751:174
O4_S3	The keycard can be printed from the security console terminal.
O4_B1	6456:92
O4_B2	6549:75
O4_B3	6625:50
OBJECTIVE O5	
O5_S1	2185:80
O5_S2	2266:62
O5_B1	6844:127
O5_B2	6972:68
O5_B3	7041:92
OBJECTIVE O6	
O6_S1	2343:46
O6_S2	2390:35
O6_B1	7918:64
O6_B2	he and Porter will be arguing about it.
O6_B3	8024:126
O6_B4	8151:88
ada	
ada_01	ADA (Autonomous Digital Astrogator) is an advanced AI aboard the Unreliable.
ada_02	She controls the navigation and communications systems of the ship.
ada_03	As ADA was programmed to recognize only Alex Hawthorne as the legal owner of the Unreliable,
ada_04	"the Stranger has no choice but to allow her to identify them as ""Captain Alex Hawthorne"" in order to circumvent the restriction."
ada_05	She is able to adapt and learn from the ship's operators to be able to better anticipate their needs.
anton_crane	
anton_crane_01	Anton Crane is the Outpost Administrator of Roseway and a lead scientist of Auntie Cleo.
anton_crane_02	Crane was tasked to develop the world's most effective appetite suppressant dental gel,
anton_crane_03	using Raptidons as research subjects.
anton_crane_04	Crane is first encountered in the Roseway Communication Room.
anton_crane_05	The scientist will explain that a group of outlaws,
anton_crane_06	led by Cassandra O'Malley, broke into his lab and released the imprisoned raptidons,
anton_crane_07	in a search for his valuable research.
anton_crane_08	He will then ask you to kill the outlaws,
anton_crane_09	put the raptidons to sleep and retrieve his research data,
anton_crane_10	looking into his missing apprentice Jameson on the way.
anton_crane_11	It is up to the player to follow any of the objectives Crane tasks them with.
anton_crane_12	He will become angered with Porter if the player convinces him to abandon his post and upset if the search for Jameson ends up in failure.
anton_crane_13	If the player fails to save Jameson,
anton_crane_14	and fails to return the toothpaste recipe,
anton_crane_15	they can tell Crane he is better off dead.
anton_crane_16	After leaving the building and walking a short distance a gun shot is heard and upon re-entering the comms center will find him sitting dead at the central terminal pillar after shooting himself in the head.
auntie_cleo	
auntie_cleo_01	Auntie Cleo's is a subsidiary of Kolway Pharmaceuticals, a partner of Halcyon Holdings Corporation.
auntie_cleo_02	Auntie Cleo's is a large corporation based on Terra 2 with various facilities located in the area of Roseway.
auntie_cleo_03	Primarily a manufacturer of various pharmaceuticals,
auntie_cleo_04	they are known both for their unethical experiments done in the name of producing high-quality cosmetics and drugs,
